PlaceName,Etymology,Derivation,ReferenceTitle
Bothal Demense,'Bota's nook of land'.,"demeyn Middle English - A demesne.; halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Bradford,'Broad ford'.,"brād Old English - Broad, spacious, wide, large.; ford Old English - A ford.",Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Bradford,'Broad ford'.,"brād Old English - Broad, spacious, wide, large.; ford Old English - A ford.",E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Brandon,'Broom hill'.,brōm Old English - Broom; a thorny bush or shrub.; dūn Old English - A hill.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Branton,'Farm/settlement overgrown with broom'.,brēmen Old English - Overgrown with broom.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Branxton,'Branoc's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Brenkley,'Brynca's mound' or 'edge mound'.,brink Old Norse; hlāw Old English - A tumulus; a hill.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Brinkburn High and Low Ward,'Brynca's stream'.,burna Old English - A stream.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Broome Park,'Broom park'.,broom Modern English - Broom.; park Modern English - Park,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Broomhaugh,'Broomy nook of land'.,"brōm Old English - Broom; a thorny bush or shrub.; halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Broomley,'Broomy wood/clearing'.,"brōm Old English - Broom; a thorny bush or shrub.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Brotherwick,'Brodor's specialised-farm'.,"Personal name (Old English) Old English - Personal name; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Broxfield,Either 'brook field' or 'badger's field'.,"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); brocc Old English - A brock, a badger.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).",Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Brunton,'Stream farm/settlement'.,burna Old English - A stream.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Budle,'Building'.,"bōðl Old English - A dwelling, a dwelling-place, a house.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names
Bullocks Hall,"Originally a township in Warkworth ancient parish, it was made a separate civil parish in 1866.",Obscure element Unknown - Obscure element,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Burradon,'Fortification hill'.,burh Old English - A fortified place.; dūn Old English - A hill.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Burradon,'Fortification hill'.,burh Old English - A fortified place.; dūn Old English - A hill.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names
Burton,'Fortification farm/settlement'.,"burh-tūn Old English - A fort enclosure; a farm with a palisade; a farm at, or belonging to, or which is, a fortification, fortified house, or manorhouse.",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Butterlaw,"'Butter hill', ie., rich dairy land.",butere Old English - Butter.; hlāw Old English - A tumulus; a hill.,E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Byker,'Farm/settlement marsh' or 'by the marsh'.,"bī Old English - By, near; (place) near or in.; bȳ Old Norse - A farmstead, a village.; kjarr Old Norse - Brushwood; a marsh overgrown with brushwood.",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bywell,"Probably, 'bend spring/stream' rather than 'by the spring/stream'.","bī Old English - By, near; (place) near or in.; byge Old English - A corner, an angle; the bend of a river.; wella Old English",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names
Caistron,'Fen thorn-tree'.,kers Middle English - A fen.; þyrnir Old Norse - A thorn-bush.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Callaly and Yetlington,'The calves' wood/clearing'. 'Farm/settlement connected with *Geatela'.,"-ingtūn Old English - A settlement called after, or connected with . . .; calf Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Cambo,'Crested hill-spur'.,"camb Old English - A comb, a crest; the crest of a hill, a ridge.; hōh Old English - A heel; a sharply projecting piece of ground.",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Capheaton,'High farm/settlement'. 'Head' to distinguish this as the Lord's settlement from the church's settlement at Kirkheaton.,"caput Latin - Head.; hēah Old English - A high place, a height.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Carrycoats,'Carry Burn cottages'.,"cot Old English - A cottage, a hut, a shelter, a den.; River-name Unknown - River-name",Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Cartington,"Uncertain. 'Cretta's valley' or perhaps, 'valley connected with *Certa'. The second element was early replaced by OE dun, 'hill'.","-ing- Old English - Connective particle, linking a first element to a final element.; denu Old English - A valley.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Catcherside,'Cold cheer hill-side'.,"cald Middle English - Cold.; chere Middle English - Cheer.; sīde Middle English - A side; the land extending alongside a river or lake, the edge of a wood or village.",E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Causey Park,'Embankment' or 'raised way' across marshy ground.,"cauce Middle English - An embankment or dam, a raised way across marshy ground or along a dyke; a raised paved way or pavement.; park Middle English - An enclosed tract of land for beasts of the chase.",Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Chathill,"A small, isolated hill rising to 40 m (OS 1866). Originally a township in Ellingham ancient parish, it was made a separate civil parish in 1866.",Obscure element Unknown - Obscure element,Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Chatton,'*Ceatta's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
