PlaceName,Etymology,Derivation,ReferenceTitle
Blisworth,'*Blith's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,"Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Boughton,"Uncertain. 'Bucca's farm/settlement', 'bucks' farm/settlement' or 'he-goats' farm/settlement'.","bucc Old English - A buck, a male deer.; bucca Old English - A he-goat.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.","Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Bozeat,'Bosa's gate'.,"geat Old English - A hole, an opening, a gap, a pass, a passage; a gate(way).; Personal name (Old English) Old English - Personal name","Watts; Cambridge Dictionary of English Place-names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Brackley,"Probably '*Bracca's wood/clearing'. Alternatively, perhaps, is Camden's 1610 interpretation: 'a place full of Brake or Ferne'.","bræcen Old English - Bracken, fern.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name","E. Ekwall; Dictionary of English Place-Names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Bradden,'Broad valley'.,"brād Old English - Broad, spacious, wide, large.; denu Old English - A valley.","Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Brafield on the Green,'Hill-top open country'.,"brægen Old English - A brain, the crown of the head; topographically a hill.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; grēne Old English - Green, grass-grown.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933)"
Brampton Ash,'Broom farm/settlement'with abundant 'ash-trees'.,æsc Old English; brōm Old English - Broom; a thorny bush or shrub.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Braunston,'*Brant's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Braybrooke,'The broad brook'.,"brād Old English - Broad, spacious, wide, large.; brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.)","E. Ekwall; Dictionary of English Place-Names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Brigstock,"Uncertain. 'Bridge outlying farm/settlement' or perhaps, 'birch-tree outlying farm/settlement'. Alternatively, 'birch-tree stump'.","berc Old English; brycg Old English - A bridge; a causeway.; stoc Old English - A place, a secondary settlement.; stocc Old English - A tree-trunk, a stump, a log of wood, a stock (esp. in boundary marks or place-names that denote structures made of logs); a set of stocks as an engine of punishment.","A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933)"
