PlaceName,Etymology,Derivation,ReferenceTitle
Church Honeybourne,'Honey stream'. 'Church' to distinguish from Cow Honeybourne.,burna Old English - A stream.; church D; hunig Old English - Honey.,E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Church Lench,'Extensive hill-side'. 'Church' distinguish from other Lenches.,cirice Old English - A church.; hlenc Old English - An extensive hill-slope.,E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Churchill,'Crug hill'. The Celtic 'crug' may have been adopted as a proper name to which 'hyll' was added by way of explanation.,"crṻg C; hyll Old English - A hill, a natural eminence or elevated piece of ground.",Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Churchill,'Crug hill'. The Celtic 'crug' may have been adopted as a proper name to which 'hyll' was added by way of explanation.,"crṻg C; hyll Old English - A hill, a natural eminence or elevated piece of ground.",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Claines,'Clayey promontory'.,"clǣg Old English - Clay, clayey soil.; næss Old English",Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Cleeve Prior,'Cliff'. It was held by the Prior of Worcester.,"clif Old English - An escarpment, a hill-slope; a river-bank.",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Clent,'Rock'.,clent Old English - A rock.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names
Clifton upon Teme,'Cliff farm/settlement' on the River Teme.,"clif Old English - An escarpment, a hill-slope; a river-bank.; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire
Cofton Hackett,"Uncertain. 'Hut farm/settlement' or perhaps. 'cove farm/settlement', in the sense of a recess in the topography. The Haket family held land here in the 12th century.","cofa Old English - An inner chamber; a cave, a cove.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Conderton,'Farm/settlement of the Kentish folk'.,Cantware Old English - The dwellers of Kent.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Cotheridge,'Codda's ridge'.,hrycg Old English - A ridge.; Personal name (Old English) Old English - Personal name,Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Cow Honeybourne,"'Honey stream'. Cow, 'bare', to distinguish from Church Honeybourne, Worcestershire.","burna Old English - A stream.; calu Old English - Bald, bare, lacking vegetation.; hunig Old English - Honey.",E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of Gloucestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Cradley,"'Creoda's wood/clearing' or perhaps, 'cradle wood/clearing'.","cradol Old English - A cradle.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Croome Dabitot,"Uncertain. Perhaps a lost river name, '*Crombe (= the winding one)' or as the name of a district, 'at the bends'. It was held by the D'Abitot family between 1150 and 1450.","crumb Old English - Crooked, twisted, bent.; crumm C; Family name Unknown - Family name.; River-name Unknown - River-name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire
Cropthorne,"Uncertain. 'Croppa's thorn-tree' or perhaps, 'thorn-tree hill'.","cropp Old English - The sprout or top of a plant, a bunch of blooms, a cluster of herbs; a swelling, mound, hill.; Personal name (Old English) Old English - Personal name; þorn Old English - A hawthorn-tree.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Crowle,"Uncertain. 'Corner wood/clearing' or perhaps, 'saffron wood/clearing'.","crōh Old English - A nook, a corner.; croh Old English - Saffron.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Crutch,'Hill'.,"crūc Old English - A hill, a barrow, a mound.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Defford,'Deep ford'.,dēop Old English - Deep.; ford Old English - A ford.,Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Doddenham,'Dod(d)a's homestead/village' or 'Dod(d)a's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Dodderhill,'Dudra's hill'.,"hyll Old English - A hill, a natural eminence or elevated piece of ground.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Dormston,'Deormod's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names
Doverdale,'Valley' of the River Dove.,dæl Old English; River-name Unknown - River-name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire
Dowles,Named of the brook on which the place is situated.,River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names
