PlaceName,Etymology,Derivation,ReferenceTitle
Trumpington,'Farm/settlement connected with *Trump(a)'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Tydd St Giles,"'Teat', perhaps in the sense of 'small hill', but the significance is uncertain. Alternatively, 'brushwood hill'. St. Giles from the dedication of the church.","saint Modern English - A saint.; titt Old English - Teat, nipple.; tydd Old English - Brushwood, shrubs.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names
Walsoken,'Wall soke'. There is a Roman sea-wall here.,"sōcn Old English - The exercise of judicial power, jurisdiction, the district over which a right of jurisdiction was exercised, an estate.; wall Old English",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Sandred & Lingstrom; Place-names of Norfolk; A.D. Mills; Dictionary of English Place-Names
Waterbeach,"Uncertain. 'Ridge' or 'stream'. 'Water' is a 13th century addition to distinguish from Landbeach, alias Inbeche. Also called 'Utbech'.","bæc Old English - A back; used topographically of a ridge, varying from a low ridge in marshy ground to a steep escarpment.; bēce Old English - A beech-tree.; ūt Old English - Outside, on the outskirts.; wæter Old English - Water, a river, a lake.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Welches Dam,"Named from a dam across the Old Bedford River constructed by Edmund Welsh, an overseer of the 'Adventurers' who undertook the draining of the fens during the 17th century.",dam Modern English; Personal name (Uncertain) Unknown - Personal name,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Wendy,'River-bend island'. The place is situated by an sharp bend in the North Ditch where it joins the River Cam.,"ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.; wende Old English - Something which bends; a bend.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Wentworth,"Uncertain. 'Wintra's enclosure', 'winter enclosure' or perhaps, 'vineyard enclosure'.",Personal name (Old English) Old English - Personal name; winter Old English - Winter.; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names
West Wickham,"Uncertain. Possibly, 'hemmed-in land by the specialised farm' or, more likely, 'homestead/village associated with a Romano-British vicus(= trading station)'. There is evidence of a Romano-British settlement nearby.","hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.; wīc-hām Old English - A settlement associated with a Roman 'vicus'.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
West Wratting,"Possibly, 'cross-wort/hellebore place'.","-ing Old English - Place-name forming suffix.; wrætt Old English - Probably crosswort, hellebore.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Westley Waterless,"'West wood/clearing', the affix is 'water clearings'.","lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; west Old English - Western, west.",E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
