PlaceName,Etymology,Derivation,ReferenceTitle
Gislingham,'The homestead/village of the followers of *Gysla'.,"-ingas Old English - The people of . . . ; the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Glemsford,'Games ford'.,"ford Old English - A ford.; glēam Old English - Revelry, joy.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names
Gosbeck,'Goose stream'.,"bǣce Old English - A beach.; bekkr Old Norse - A stream, a beck.; gōs Old English - A goose.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Ashfield,'Ash-tree open land'.,"æsc Old English; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Great Barton,'Barley farm/settlement'.,"bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; The Vocabulary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Bealings,"'The followers of Beola', or 'the dwellers in the glade' or 'by the funeral pyre'.","-ingas Old English - The people of . . . ; the people called after . . .; bēl Old English; bel Old English - Interval, clearing; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Great Blakenham,'Blaca's homestead/village' or 'Blaca's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Bradley,'Broad woodland clearing'.,"brād Old English - Broad, spacious, wide, large.; grēat Old English - Thick, stout, bulky, massive. Later meaning 'big in size'.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; The Vocabulary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Bricett,Possibly 'gadfly fold'.,"brēosa Old English - A gadfly.; set Old English - A dwelling, a camp, a place for animals, a stable, a fold.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Cornard,'Cultivated land used for corn'.,"corn Old English - Corn, grain.; erð Old English",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Finborough,'Woodpecker hill'.,berg Old English; fīna Old English - A wood-pecker.,Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; The Vocabulary of English Place-Names
Great Glemham,'Games homestead/village'.,"glēam Old English - Revelry, joy.; hām Old English - A village, a village community, a manor, an estate, a homestead.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Livermere,'Iris pool'; or 'pool with thick water' / 'liver-shaped pool'.,"lēfer Old English - A rush, a reed, a yellow iris, levers.; lifer Old English - A liver; probably used of thick, clotted water.; mere Old English - A pond, a pool, a lake.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names
Great Saxham,Probably 'homestead/village of the Saxons'. Alternatively 'homestead/village by a rock'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; seax Old English - A stone, a rock.; Seaxe Old English - The Saxons; usually denoting isolated settlements of Saxons among other tribes.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Great Thurlow,"Second element 'hill, mound'. First element uncertain: suggestions include words for 'warriors' and 'deliberation'.","hlāw Old English - A tumulus; a hill.; þrȳð Old English - A troop, a host of warriors.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Great Waldingfield,'Open land of the forest-dwellers'.,"-ingas Old English - The people of . . . ; the people called after . . .; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; wald Old English",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names
Great Welnetham,Difficult. The only suggestion is 'swan enclosure by a waterwheel'. Cf. Thelnetham.,elfitu Old English; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; hwēol Old English - A wheel; a water-wheel; topographically something circular such as a stone circle or a curving valley or hill.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Great Wenham,Difficult. The first element might mean 'pasture' or 'mound'. The second is 'homestead/village' or 'hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; wenn Old English - A wen, a tumour; topographically a barrow, a mound.; winn Old English - A pasture.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Great Wratting,'Place where crosswort grows'.,"-ing Old English - Place-name forming suffix.; wrætt Old English - Probably crosswort, hellebore.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Groton,'Sandy or gravelly stream'.,ēa Old English - A river.; groten Old English - Made of particles (in reference to some kind of sandy or gravelly soil).,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Grundisburgh,'Stronghold near the foundation of a building' or 'Grund's stronghold'.,"burh Old English - A fortified place.; grund Old English - Ground, bottom, foundation; a stretch of land; (later) an outlying farm, outlying fields.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Gunton,'Gunni's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Hacheston,'Haecci's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Hadleigh,'Woodland clearing with heather'.,"hǣð Old English - Heather; a tract of uncultivated land.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Hadleigh Hamlet,'Woodland clearing with heather'. Cf. Hadleigh.,"hǣð Old English - Heather; a tract of uncultivated land.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
