PlaceName,Etymology,Derivation,ReferenceTitle
Godalming,"'Godhelm's people'. Godalming was the 'caput' of the hundred, but the site of the meeting-place is unknown.",-ingas Old English - The people of . . . ; the people called after . . .; hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name,Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Anderson (unspecified work); A.D. Mills; Dictionary of English Place-Names
Godley Hundred,"Either, 'Goda's wood/clearing' or 'good wood/clearing'. The original site of the meeting-place from which the hundred takes its name is uncertain, but it may be related to a field called 'Godley Hall' (perhaps 'hill'?) in the NW corner of Chobham parish n","god Old English - A heathen god; the Deity.; hundred Old English - One hundred; an administrative division of a county.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Gover et al.; Place-names of Surrey; Anderson (unspecified work)
Godstone,"Uncertain. Possibly, '*Cod's farm/settlement' or '*Cod's stone'.","Personal name (Old English) Old English - Personal name; stān Old English - A stone, stone, rock.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names
Great and Little Bookham,'Beech-tree homestead/village'.,"bōc Old English - A beech-tree.; hām Old English - A village, a village community, a manor, an estate, a homestead.; lȳtel Old English - Little, small.; magna Latin - Big, great.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Guildford,"'Golden ford', referring to the colour of the sand here.","ford Old English - A ford.; gylden Old English - Golden (literally as to material or colour, figuratively as to richness or splendour or fertility).",Gover et al.; Place-names of Surrey; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ham with Hatch,"'Hemmed-in land'. 'Hatch', either referring to a gate, often to a forest, or a sluice-gate in a river.","hæcc Old English - A hatch, a grating, a half-gate, a gate; a sluice-gate.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Hambledon,"Perhaps, 'rugged hill'.","dūn Old English - A hill.; hamol Old English - Maimed, mutilated; crooked, scarred, flat-topped, cut-off.",Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Hascombe,"Possibly, 'witch's valley'.","cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.; hægtesse Old English - A witch.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Haslemere,'Hazel pools'.,"hæsel Old English - A hazel-tree.; mere Old English - A pond, a pool, a lake.",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Headley,'Heath wood/clearing'.,"hǣð Old English - Heather; a tract of uncultivated land.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names
