Id,Element,Language,Meaning,Frequency
1200,ripel,Old English,A strip of land.,7
1201,sandig,Old English,Sandy.,1
1202,þorp,Old Norse,"A secondary settlement, a dependent outlying farmstead or hamlet.",224
1203,sceard,Old English,"A cleft, a gap (as in a fence).",5
1204,post,Old English,"A post, a pillar.",1
1205,scēot,Old English,A steep slope.,8
1206,eorl,Old English,"A hero, a nobleman",6
1207,(later) a high-ranking officer of state.,Modern English,,6
1208,sīd,Old English,"Large, spacious, extensive, long.",9
1209,smiðr,Old Norse,"A smith, a worker in metal.",1
1210,Personal,name (Old Norse) Old Norse,Personal name,1
1211,Personal,name (Old Norse) Old Norse,Personal name,1
1212,Personal,name (Old Norse) Old Norse,Personal name,1
1213,tān,Old English,"A twig, a sprout, a shoot",3
1214,possibly also a stake.,Modern English,,3
1215,tak,Middle English,"A lease, a tenure, a revenue.",1
1216,Personal,name (Old Norse) Old Norse,Personal name,1
1217,ticcen,Old English,"A kid, a young goat.",14
1218,trūs,Old English,Brushwood.,1
1219,Personal,name (Old Norse) Old Norse,Personal name,1
1220,tup,Middle English,"A ram, a tup.",3
1221,trun,Old English,"Circular, round",1
1222,something which turns.,Modern English,,1
1223,Personal,name (Old Norse) Old Norse,Personal name,1
1224,Wōden,Old English,"A heathen Germanic god, corresponding to Othinn and nicknamed Grim.",6
1225,hwet-stān,Old English,A whetstone.,2
1226,hirde,Old English,A herdsman.,3
1227,geolu,Old English,Yellow.,2
1228,abbod,Old English,An abbot.,8
1229,Personal,name (Uncertain) Unknown,Personal name,1
1230,āwel,Old English,"A hook, a fork",1
1231,perhaps in a topographical sense such as the fork of a river.,Modern English,,1
1232,mynster,Old English,"A monastery, the church of a monastery or religious body, a church served by secular clergy.",36
1233,bearde,Old English,Battle-axe.,1
1234,bēaw,Old English,A gadfly.,2
1235,bǣr,Old English,"Pasture, especially pasture in woodland for swine.",18
1236,bica,Old English,A woodpecker,6
1237,"a bill, a beak",Modern English,,6
1238,a beak-like projection.,Modern English,,6
1239,biscop,Old English,A bishop.,29
1240,worðig,Old English,An enclosure.,19
1241,Personal,name (Uncertain) Unknown,Personal name,1
1242,bræc,Old English,"A brake, brushwood, a thicket.",3
1243,brǣc,Old English,A strip of untilled land.,3
1244,brēc Old English,Modern English,,5
1245,Personal,name (Uncertain) Unknown,Personal name,1
1246,brȳd,Old English,A bride.,3
1247,brȳde,Old English,A gushing stream.,1
1248,Personal,name (Uncertain) Unknown,Personal name,1
1249,Personal,name (Uncertain) Unknown,Personal name,1
1250,Personal,name (Uncertain) Unknown,Personal name,1
1251,fæsten,Old English,A stronghold.,2
1252,monachus,Latin,A monk.,6
1253,salt-ærn,Old English,A building where salt was made or sold.,4
1254,ceacga,Old English,"Broom, gorse, brushwood.",2
1255,Cēola,Old English,Masculine personal name.,1
1256,cetel Old English,Modern English,,8
1257,clofen,Old English,"Cloven, split: used of a hill being cut through by a valley.",1
1258,clawu,Old English,"A claw, a river-fork.",2
1259,cleath C,Modern English,,1
1260,clof,Old English,Something cut,2
1261,"a crevice, a valley.",Modern English,,2
1262,felg,Old English,A felly.,1
1263,col,Old English,"Coal, especially charcoal.",17
1264,Personal,name (Uncertain) Unknown,Personal name,1
1265,cunẹ̄ti̥ū C,Modern English,,1
1266,Personal,name (Uncertain) Unknown,Personal name,1
1267,priorie,Middle English,A priory.,7
1268,dēop,Old English,Deep.,8
1269,duβ C,Modern English,,3
1270,Personal,name (Uncertain) Unknown,Personal name,1
1271,-āco- C,Modern English,,6
1272,dunnoc,Old English,A hedge-sparrow.,2
1273,ān-stiga,Old English,"A short ascending road, usually forking at either end.",7
1274,budda,Old English,A dung-beetle.,3
1275,porth C,Modern English,,1
1276,putta,Old English,"A hawk, a kite.",7
1277,Personal,name (Uncertain) Unknown,Personal name,1
1278,gēac,Old English,A cuckoo.,4
1279,fær,Old English,A (difficult) passage.,4
1280,filde,Old English,A plain.,1
1281,haca,Old English,A hook.,7
1282,hæcc,Old English,"A hatch, a grating, a half-gate, a gate",13
1283,a sluice-gate.,Modern English,,13
1284,hālig,Old English,"Holy, sacred, dedicated to sacred use (originally heathen, later Christian).",16
1285,here-ford,Old English,A ford suitable for the passage of an army,6
1286,possibly also a ford by which a highway crosses.,Modern English,,6
1287,here-pæð,Old English,"A military road, a highway.",9
1288,hǣddre,Old English,Heather.,4
1289,hōc,Old English,A hook,5
1290,a projecting piece of ground.,Modern English,,5
1291,heȝ,Middle English,High.,2
1292,Personal,name (Uncertain) Unknown,Personal name,1
1293,helde,Old English,Tansy.,8
1294,hunig,Old English,Honey.,10
1295,hīwisc,Old English,"A household, a family",9
1296,"later a measure of land that would support a family, used interchangeably with hid.",Modern English,,9
1297,giedd Old English,Modern English,,1
1298,Personal,name (Uncertain) Unknown,Personal name,1
1299,celli C,Modern English,,2
1300,canto- C,Modern English,,3
1301,lām,Old English,"Loam, clay.",4
1302,hlanc,Old English,"Long, narrow.",1
1303,hlēape-wince,Old English,A lapwing.,1
1304,pytt,Old English,"A pit, a natural hollow",6
1305,"an excavated hole, esp. one where minerals or other materials are got.",Modern English,,6
1306,meargealla,Old English,Gentian.,3
1307,mamm C,Modern English,,4
1308,mǣð,Old English,"Mowing, the cutting of grass or corn.",4
1309,mȳðe,Old English,The mouth of a river where it runs into another,10
1310,a confluence of rivers.,Modern English,,10
1311,assart,Middle English,A clearing in woodland.,1
1312,episcopus,Latin,A bishop.,26
1313,mūs,Old English,"A mouse, a field-mouse.",8
1314,popel,Old English,A pebble.,4
1315,nïṽed C,Modern English,,2
1316,Personal,name (Uncertain) Unknown,Personal name,1
1317,pearroc,Old English,A fence enclosing a piece of ground,4
1318,"the ground enclosed within a fence, a small enclosure, a paddock",Modern English,,4
1319,a fishing enclosure.,Modern English,,4
1320,peddere,Middle English,A pedlar.,1
1321,Personal,name (Uncertain) Unknown,Personal name,1
1322,pinn,Old English,"A pin, a peg.",4
1323,comes,Latin,"A fellow-traveler, a companion or attendant.  Used of an earl.",3
1324,plȳme,Old English,A plum,5
1325,polra,Old English,Marshy land.,1
1326,pēo,Old English,"An insect, a parasite of some kind.",5
1327,ærne,Old English,Suitable for riding or running on (probably on horseback).,1
1328,hraca,Old English,A throat,3
1329,"topographically a pass, a narrow passage.",Modern English,,3
1330,racu,Old English,"A hollow, a stream, the bed of a stream.",4
1331,rǣw,Old English,"A row, a row of trees, a row of houses.",6
1332,ryden,Old English,A clearing.,2
1333,Personal,name (Uncertain) Unknown,Personal name,1
1334,sǣtere,Old English,A robber.,2
1335,sceaft,Old English,"A shaft, a pole, probably used of a pole acting as a landmark or boundary post.",7
1336,scitel,Old English,Dung.,1
1337,scēp-wæsce Old English,Modern English,,2
1338,scīete Old English,Modern English,,8
1339,scyte,Old English,A shooting,1
1340,a place where shooting takes place,Modern English,,1
1341,a place where something shoots out,Modern English,,1
1342,a steep slope,Modern English,,1
1343,a rush of water.,Modern English,,1
1344,swēora,Old English,A neck,4
1345,"a neck of land, a col, a hollow on the top of a hill or ridge, a ridge, a narrow strip of water between two shores.",Modern English,,4
1346,sprǣg,Old English,"Brushwood, twigs.",3
1347,stæfer,Old English,"A pole, a stake.",3
1348,tēn,Old English,Ten.,1
1349,Personal,name (Old Norse) Old Norse,Personal name,1
1350,þrūh,Old English,"A water-pipe, a conduit",2
1351,a coffin,Modern English,,2
1352,figuratively a deep valley.,Modern English,,2
1353,þryscele,Old English,A thrush.,1
1354,topp,Old English,"A top, the top of a bank or hill.",3
1355,trendel,Old English,"A circle, a ring",3
1356,something circular in shape.,Modern English,,3
1357,twicen,Old English,"The fork of a road, cross-roads.",2
1358,wæferce,Old English,A spider.,1
1359,wæsc,Old English,"A washing, a flood.",4
1360,wæsce,Old English,A place for washing.,4
1361,wægn,Old English,"A wagon, a cart.",5
1362,wenn,Old English,"A wen, a tumour",7
1363,"topographically a barrow, a mound.",Modern English,,7
1364,wulf,Old English,A wolf.,8
1365,sele,Old English,"A dwelling, a house, a hall.",13
1366,Boia,Old English,Masculine personal name.,1
1367,Boys,Modern English,,3
1368,abbesse,Middle English,An abbess.,8
1369,court,Middle English,"A space enclosed by walls or houses, a yard",8
1370,"a large house, a manor-house",Modern English,,8
1371,a house where manorial courts were held.,Modern English,,8
1372,tacca,Old English,"A teg, a young sheep.",3
1373,Tacca,Old English,Masculine personal name.,1
1374,Ēata,Old English,Masculine personal name.  Also the name of a saint.,1
1375,ufan,Old English,"Over, above.  (Comparative: higher, upper.  Superlative: uppermost.)",9
1376,Ælfrūn,Old English,Personal name.,1
1377,Farm Modern English,Modern English,,24
1378,Æffa,Old English,Masculine personal name.,1
1379,Piddle,Old English,A river-name.,10
1380,Æðelgifu,Old English,Personal name.,2
1381,Alcester,Modern English,,1
1382,Ælfrīc,Old English,Masculine personal name.,1
1383,beneoðan,Old English,"Beneath, under, below.",1
1384,All Saints,Modern English,,2
1385,Karentham,Modern English,,1
1386,Wimborne,Modern English,,6
1387,æðeling,Old English,"A prince, a nobleman.",7
1388,Bere,Modern English,,6
1389,ǣwell Old English,Modern English,,6
1390,Winterborne,Old English,A river-name.,17
1391,Anketil,Modern English,,1
1392,place,Middle English,"An open space in a town, an area surrounded by buildings",2
1393,a town-house,Modern English,,2
1394,"a residence, a mansion-house.",Modern English,,2
1395,Antioche,Modern English,,1
1396,Alflede,Modern English,,1
1397,flēd,Old English,An intermittent stream.,1
1398,Buzun,Modern English,,1
1399,lane,Old English,"A lane.  (Common in the names of less important streets in towns, but rare in other place-names.)",17
1400,Æsca,Old English,Masculine personal name.,1
1401,Æðelhelm,Old English,Masculine personal name.,1
1402,furlang,Old English,"The length of a furrow, a furlong, a piece of land the length of a furrow (especialy in the common field)",2
1403,later a division of the common field.,Modern English,,2
1404,Badda,Old English,Masculine personal name.,1
1405,Bacca,Old English,Masculine personal name.,2
1406,Bacga,Old English,Masculine personal name.,2
1407,bagga,Old English,A bag,7
1408,a badger.,Modern English,,10
1409,strete,Middle English,"A hamlet, a straggling village.",1
1410,baillie,Middle English,"A bailiff, a steward",2
1411,the chief officer of a hundred,Modern English,,2
1412,the jurisdiction or district of a bailiff.,Modern English,,2
1413,lǣs,Old English,"Pasture, meadow-land.",12
1414,Obscure,element Old English,Obscure.,1
1415,Bardolf,Modern English,,1
1416,Barnaby,Modern English,,1
1417,Personal,name (Uncertain) Unknown,Personal name,1
1418,Beornheard,Old English,Masculine personal name.,1
1419,Beorn,Old English,Masculine personal name.,1
1420,bay,Modern English,"An obstacle, a barrier, an embankment to form a dam.",1
1421,Bæll,Old English,Masculine personal name.,1
1422,hecg,Old English,A hedge.,11
1423,leyne,Middle English,"A layer, a trace of arable land.",3
1424,bēo,Old English,A bee.,8
1425,Bida,Modern English,,1
1426,Personal,name (Uncertain) Unknown,Personal name,1
1427,Haket,Modern English,,1
1428,Bēaghild,Old English,Feminine personal name.,1
1429,bēl Old English,Modern English,,13
1430,bī,Old English,"By, near",17
1431,(place) near or in.,Modern English,,17
1432,ēastan,Old English,"East, east of.",5
1433,Boneville,Modern English,,1
1434,Frome,Celtic,"River-name meaning 'fair, fine, brisk'.",5
1435,Personal,name (Uncertain) Unknown,Personal name,1
1436,Bitta,Old English,Masculine personal name.,1
1437,Buttel,Old English,Masculine personal name.,1
1438,Billa,Old English,Masculine personal name.,2
1439,binnan,Old English,Within.,5
1440,Bingham,Modern English,,2
1441,Melcombe,Modern English,,1
1442,Beonna,Old English,Masculine personal name.,1
1443,Caundle,Modern English,,4
1444,canto- Celtic,Modern English,,5
1445,Byttel,Old English,Masculine personal name.,1
1446,Blackmore,Modern English,,1
1447,blǣge,Old English,"The blay, the gudgeon (a fish).",4
1448,forum,Latin,A market.,2
1449,Stour,Old English,A river-name.,8
1450,Blandford,Modern English,,2
1451,Martel,Modern English,,1
1452,blǣcen,Old English,Bleaching (referring to a place where cloth was bleached).,1
1453,Blocc,Old English,Masculine personal name.,1
1454,Blinch,Modern English,,1
1455,Boyt,Modern English,,1
1456,Bubba,Old English,Masculine personal name.,2
1457,boðen,Old English,"Rosemary, darnel, thyme.",1
1458,Bōfa,Old English,Masculine personal name.,1
1459,Bār,Old English,Masculine personal name.,1
1460,Brian,Modern English,,3
1461,Peverell,Modern English,,1
1462,Branksome,Modern English,,1
1463,Brȳni,Old English,Masculine personal name.,2
1464,sceort,Old English,Short.,4
1465,main Celtic,Modern English,,2
1466,Wey,Old English,A river-name.,5
1467,brocc,Old English,"A brock, a badger.",9
1468,Brūnoc,Old English,Masculine personal name. (Derivative of Brun.),1
1469,ēg-land Old English,Modern English,,5
1470,Brownsall,Modern English,,1
1471,Blaneford,Modern English,,1
1472,Personal,name (Uncertain) Unknown,Personal name,1
1473,Personal,name (Uncertain) Unknown,Personal name,1
1474,toun,Middle English,"A township, a community.",10
1475,Turbervill,Modern English,,2
1476,bouker,Modern English,,1
1477,Bouker,Modern English,,1
1478,Maundevyll,Modern English,,1
1479,Moygne,Modern English,,1
1480,Newton,Modern English,,1
1481,Bucge,Old English,Feminine personal name.,2
1482,bōcen,Old English,Beechen,2
1483,growing with beech-trees.,Modern English,,2
1484,Ripers,Modern English,,1
1485,Bula,Old English,Masculine personal name.,1
1486,Lane,Modern English,,1
1487,Burdel,Old English,Masculine personal name.,1
1488,Nash,Modern English,,1
1489,geard,Old English,A fence,9
1490,an enclosure,Modern English,,31
1491,a yard,Modern English,,9
1492,a court-yard.,Modern English,,9
1493,gerd Old English,Modern English,,5
1494,Burcy,Modern English,,1
1495,stōl,Old English,"A stool, a seat, a throne.",2
1496,walk,Modern English,A walking-place,2
1497,a path,Modern English,,2
1498,a range of pasture.,Modern English,,2
1499,Cana,Old English,Masculine personal name.,3
1500,canne,Old English,"A can, a cup",4
1501,"used topographically of a hollow, a deep valley.",Modern English,,4
1502,Canford,Modern English,,2
1503,canc,Old English,"A steep, rounded hill.",1
1504,Canon,Modern English,,1
1505,Cabel,Modern English,,1
1506,Cottage,Modern English,,1
1507,castel,Middle English,"A large defensive building, a stronghold, a castle",1
1508,"a large mansion, built in the style of a medieval caste.",Modern English,,10
1509,copis,Middle English,A coppice.,3
1510,Personal,name (Uncertain) Unknown,Personal name,1
1511,mareis,Middle English,A marsh.,2
1512,Bevin,Modern English,,1
1513,Wake,Modern English,,4
1514,Kauz,Modern English,,1
1515,Cēol,Old English,Masculine personal name.,1
1516,Herring,Modern English,,2
1517,Hill Modern English,Modern English,,2
1518,Chaumberlayn,Modern English,,1
1519,Sceortmann,Old English,Masculine peronal name. (Doubtful),1
1520,cearr,Old English,"A turn, a bend.",1
1521,Marshall,Modern English,,2
1522,Cerne,Old English,A river-name.,3
1523,Chavel,Modern English,,1
1524,bord,Old English,"A board, a plank",3
1525,a table.,Modern English,,3
1526,Ceatwa,Old English,Masculine personal name.,1
1527,cisel,Old English,"Gravel, shingle.",10
1528,Chesil,Modern English,,1
1529,cē¸d Celtic,Modern English,,8
1530,rïd Celtic,Modern English,,1
1531,-ǭg Celtic,Modern English,,1
1532,celte,Old English,Meaning and origin unknown.,2
1533,celde Old English,Modern English,,4
1534,Cydda,Old English,Masculine personal name.,1
1535,ope Modern English,Modern English,,1
1536,Cocca,Old English,Masculine personal name.,1
1537,hygel,Old English,A hillock.,2
1538,hylu,Old English,A hollow.,1
1539,Coker,Modern English,,1
1540,cokaygne,Middle English,The name of an imaginary country of luxury and idleness.,1
1541,Cola,Old English,Masculine personal-name.,2
1542,cāl,Old English,"Rape, cole, cabbage.",1
1543,Almer,Modern English,,2
1544,Coombe,Modern English,,1
1545,Ifa,Old English,Masculine personal name.,1
1546,īfig,Old English,Ivy.,2
1547,coppede,Old English,Having a peak or top.,3
1548,coppod,Old English,"Pollarded, dubbed.",2
1549,castel,Middle English,"A large defensive building, a stronghold, a castle",1
1550,corf,Old English,"A cutting, a pass, a valley.",11
1551,molin,Old French,A mill.,1
1552,cors Celtic,Modern English,,1
1553,Creech,Modern English,,2
1554,crundel,Old English,"A chalk-pit, a quarry, a gully.",3
1555,drāf,Old English,"A herd, a drove",1
1556,"probably also a drove-way, a road on which cattle are driven.",Modern English,,1
1557,plat,Middle English,Something flat,1
1558,a footbridge.,Modern English,,1
1559,plot,Old English,A small piece of ground.,1
1560,cribbe,Middle English,"A manger, an oxstall.",1
1561,crocc,Old English,"A crock, an earthenware pot.",1
1562,croccere,Old English,A potter.,1
1563,Crokkerne,Modern English,,1
1564,crūc,Old English,"A hill, a barrow, a mound.",4
1565,culfre,Old English,"A dove, a pigeon.",2
1566,Dagon,Modern English,,1
1567,deorc,Old English,"Dark, obscure, gloomy.",1
1568,Deverel,Modern English,,1
1569,Milborne,Modern English,,1
1570,Dydel,Old English,Masculine personal name.,1
1571,Dodda,Old English,Masculine personal name.,1
1572,dodde,Middle English,A rounded summit of a hill.,2
1573,Dodding Unknown,Modern English,,1
1574,durn Celtic,Modern English,,1
1575,durno- Celtic,Modern English,,1
1576,u̯ariā Celtic,Modern English,,1
1577,Dru,Modern English,,1
1578,Personal,name (Uncertain) Unknown,Personal name,1
1579,Dudd,Old English,Masculine personal name.,1
1580,dunn,Old English,"Dun, dull brown.",1
1581,etisc,Old English,"A plot of land, probably pasture land.",1
1582,house Middle English,Modern English,,2
1583,Dēorwine,Old English,Masculine personal name.,1
1584,Fitz Payn,Modern English,,2
1585,Giffard,Modern English,,1
1586,Hemmede,Old English,Masculine personal name.,1
1587,hlēo,Old English,"Protection, defence",3
1588,a shelter.  (Only recorded in poetry.),Modern English,,3
1589,hlēow,Old English,"Sheltered, warm, sunny.",1
1590,ar Celtic,Modern English,,2
1591,crṻg Celtic,Modern English,,4
1592,Fossil,Modern English,,1
1593,cniht,Old English,"A youth, a servant, a soldier.",17
1594,Lulla,Old English,Masculine personal name.,2
1595,orceard,Old English,A garden,3
1596,later an orchard.,Modern English,,3
1597,Cusin,Modern English,,2
1598,Gunville,Modern English,,2
1599,Ecga,Old English,Masculine personal name.,1
1600,Ēadmōd,Old English,Masculine personal name.,1
1601,Ēadmund,Old English,Masculine personal name.,1
1602,eglẹ̄s Celtic,Modern English,,1
1603,hǣl,Old English,"An omen, good fortune.",1
1604,hǣle,Old English,"Hale, safe.",1
1605,hǣlu,Old English,"Health, healing, cure.",1
1606,ēan,Old English,A lamb.,5
1607,Ēana,Old English,Masculine personal name.,1
1608,ferme Modern English,Modern English,,1
1609,feleðe Old English,Modern English,,2
1610,fergen Old English,Modern English,,3
1611,Fern Brook,Modern English,,1
1612,River-name,Old English,A River-name.,1
1613,Fitela,Old English,Masculine personal name.,1
1614,Magdalen,Modern English,,1
1615,Neville,Modern English,,1
1616,Copse Modern English,Modern English,,2
1617,fitt,Old English,"A fight, a contest.",2
1618,flōr,Old English,"A floor, a pavement, the ground.",3
1619,Flour,Modern English,,1
1620,folc,Old English,"The people of a tribe or family, the common people.",5
1621,Le Enfaunt le roy,Modern English,,1
1622,Fontmell,Modern English,,2
1623,Forsard,Modern English,,1
1624,Personal,name (Uncertain) Unknown,Personal name,1
1625,fortune,Modern English,Fortune.,1
1626,Frenche,Modern English,,1
1627,Whitfield,Modern English,,1
1628,frere,Middle English,"A friar, a brother, a member of one of the mendicant orders.",3
1629,hospital,Middle English,"A hospital, a hospice.",1
1630,Mayne,Modern English,,2
1631,fyrs,Old English,Furze.,4
1632,gafol,Old English,A fork,1
1633,topographically a river fork.,Modern English,,1
1634,Gatemore,Modern English,,1
1635,gold-hord,Old English,"A gold hoard, a treasure of gold, a treasury.",1
1636,Gylla,Old English,Masculine personal name.,1
1637,helm,Old English,A helmet,4
1638,the summit of a hill,Modern English,,4
1639,"a cattle shelter, barn.",Modern English,,4
1640,gotu,Old English,"A water-course, a channel, a stream.",2
1641,Pier,Modern English,,1
1642,Plant,Modern English,,1
1643,Point,Modern English,,1
1644,Godelin,Middle English,Masculine personal name.,1
1645,Godling,Middle English,Masculine personal name.,1
1646,Grímr,Old Norse,A by-name of the God Woden.,1
1647,Personal,name (Old Norse) Old Norse,Personal name,1
1648,stede,Old English,"A place, a site, a locality",83
1649,a religious house or foundation,Modern English,,83
1650,a place of communal activity,Modern English,,83
1651,"a farm, a dairy-farm, an estate.",Modern English,,83
1652,Gummer,Modern English,,1
1653,Personal,name (Uncertain) Unknown,Personal name,1
1654,Gentil,Modern English,,1
1655,gyse,Old English,A gush of water.,3
1656,sīc,Old English,A small stream.,5
1657,Gussage,Modern English,,2
1658,Bount,Modern English,,1
1659,Dinant,Modern English,,1
1660,apuldor,Old English,An apple-tree.,5
1661,gouge Modern English,Modern English,,1
1662,Guy,Modern English,,1
1663,half Old English,Modern English,,2
1664,hēh Old English,Modern English,,7
1665,de Moion,Modern English,,2
1666,Chamberlayn,Modern English,,1
1667,Daumarle,Modern English,,1
1668,hara,Old English,A hare.,13
1669,heard,Old English,Hard,5
1670,hard to till,Modern English,,5
1671,"uncomfortable, cheerless.",Modern English,,5
1672,de Bryene,Modern English,,1
1673,hege,Old English,"A hedge, a fence.",11
1674,ermitage,Middle English,A hermitage.,2
1675,Hareng,Modern English,,1
1676,Personal,name (Uncertain) Unknown,Personal name,1
1677,Here,Old English,Personal name.,1
1678,close,Middle English,"A close, an enclosure.",6
1679,hūfe,Old English,A hood,4
1680,topographically a hood-shaped hill.,Modern English,,8
1681,hlīg,Old English,A shelter.,3
1682,Sandford,Modern English,,1
1683,Martell,Modern English,,1
1684,Hinton,Modern English,,2
1685,hōd,Old English,A hood,4
1686,Hogg,Modern English,,1
1687,Olla,Old English,Masculine personal name.,1
1688,Holme,Modern English,,2
1689,walu,Old English,A ridge of earth or stone.,7
1690,rōd,Old English,"A rood, a cross",3
1691,also a cross for executing criminals.,Modern English,,3
1692,Humber,Old English,A river-name probably of British origin.,1
1693,Harper,Modern English,,1
1694,hearpere,Old English,A harper.,1
1695,Stoke,Modern English,,2
1696,Baret,Modern English,,1
1697,Ēadbeorht,Old English,Masculine personal name.,1
1698,Ælfsige,Old English,Masculine personal name.,2
1699,Courtney,Modern English,,1
1700,Iwerne,Old English,A river-name.,5
1701,scīr-rēfa,Old English,"A sheriff, the king's executive.",5
1702,cerr Old English,Modern English,,4
1703,Chur,Unknown,River-name.,1
1704,Carey,Modern English,,1
1705,Carey,Celtic,River-name of uncertain meaning.,1
1706,kiken,Middle English,"To watch, peep.",1
1707,Cȳma,Old English,Masculine personal name.,2
1708,cȳme,Old English,"Lovely, splendid.",2
1709,paleis,Middle English,A palace.,1
1710,palis,Middle English,A palisade.,1
1711,Heath,Modern English,,1
1712,setl,Old English,"A seat, an abode, a dwelling",5
1713,sometimes probably used to indicate a lofty setting.,Modern English,,5
1714,Crubbe,Modern English,,1
1715,Mauregard,Modern English,,1
1716,crux,Latin,A cross.,2
1717,Lacy,Modern English,,1
1718,Plugenet,Modern English,,1
1719,cnæppede,Old English,Provided with a top.,1
1720,Cnihtwine,Old English,Masculine personal name.,1
1721,leman,Middle English,"A lover, a sweetheart.",1
1722,Belet,Modern English,,2
1723,Botiller,Modern English,,1
1724,de Tylly,Modern English,,1
1725,Gulden,Modern English,,1
1726,Langton,Modern English,,1
1727,Latylle,Modern English,,1
1728,Matravers,Modern English,,3
1729,lǣcere Old English,Modern English,,1
1730,ferme,Middle English,A rent.,1
1731,Lēofsige,Old English,Masculine personal name.,1
1732,Park Modern English,Modern English,,1
1733,Leigh,Modern English,,1
1734,lencten,Old English,"Spring, Lent. (Referring to land ploughed in Spring, or to poor land producing only lenten fare.)",1
1735,Lēofwīg,Old English,Masculine personal name.,1
1736,Lylla,Old English,Masculine personal name.,1
1737,Burton,Modern English,,2
1738,Cheselbourne,Modern English,,1
1739,fraunchise,Middle English,District over which the privilege of a corporation extends.,1
1740,Kimmeridge,Modern English,,1
1741,Kington,Modern English,,1
1742,Sirard,Modern English,,1
1743,hlȳde,Old English,A noisy stream (literally a loud one.,8
1744,lorte,Old English,"Dirt, mud, a muddy place, a swamp.",2
1745,dour Celtic,Modern English,,1
1746,lo-dre Celtic,Modern English,,1
1747,logh Celtic,Modern English,,1
1748,Lodda,Old English,Masculine personal name.,1
1749,Govis,Modern English,,1
1750,Lucy,Modern English,,1
1751,Hampreston,Modern English,,1
1752,lobb,Old English,Something heavy or clumsy,1
1753,"used in a topographical sense not determined, usually on or near steep slopes.",Modern English,,1
1754,Lufa,Old English,Masculine personal name.,2
1755,lufu,Old English,"Love, love-making, courtship.",3
1756,Lēofwaru,Old English,Feminine personal name.,1
1757,Lolla,Old English,Masculine personal name.,1
1758,Lugg,Modern English,,1
1759,Lugga,Old English,Masculine personal name.,1
1760,Tarrant,Old English,A river-name.,11
1761,Lutta,Old English,Masculine personal name.,1
1762,gleoda Old English,Modern English,,1
1763,Lydden,Old English,River-name.,1
1764,lisc,Old English,"Reeds, a reedy marsh.",1
1765,lẹ̄d Celtic,Modern English,,3
1766,Lytchett,Modern English,,1
1767,Madalgar,Continental Germanic,Masculine personal name.,1
1768,Personal-name,Continental Germanic,A personal-name.,3
1769,Mann,Old English,Masculine personal name.,2
1770,Manna,Old English,Masculine personal name.,1
1771,Redlane,Modern English,,1
1772,mapuldor,Old English,A maple-tree.,9
1773,Margaret,Modern English,,1
1774,myrge,Old English,"Pleasant, sweet, agreeable.",6
1775,m(e)arn,Old English,"Tender, soft.",1
1776,Marnhull,Modern English,,1
1777,mǣle,Old English,"Dyed, stained, multi-coloured.",5
1778,Personal,name (Uncertain) Unknown,Personal name,1
1779,Horsey,Modern English,,1
1780,meoluc,Old English,Milk,7
1781,probably used of rich pastures and the like yielding good milk,Modern English,,7
1782,in stream-names it may denote a turbid nature or milky colour or streams which run through rich pastures.,Modern English,,7
1783,Beek,Modern English,,1
1784,Munketon,Modern English,,1
1785,Stileham,Modern English,,1
1786,stigel,Old English,"A stile, a place devised for climbing over a fence",2
1787,topographically perhaps a steep ascent.,Modern English,,2
1788,Tregonwell,Modern English,,1
1789,mynecen,Old English,A nun.,2
1790,minte,Old English,Mint.,4
1791,Minterne,Modern English,,1
1792,sīde,Old English,A side,1
1793,Crichel,Modern English,,1
1794,Sifrewast,Modern English,,1
1795,Mūla,Old English,Masculine personal name.,1
1796,Mucel,Old English,Masculine personal name.,1
1797,Mucela,Old English,Masculine personl name.,1
1798,Muster,Modern English,,1
1799,Monteacute,Modern English,,1
1800,Peverel,Modern English,,2
1801,Eggelin,Continental Germanic,Masculine personal name.,1
1802,hæfen,Old English,"A haven, a harbour.",3
1803,point,Middle English,A sharp end.,1
1804,norðan,Old English,"North, north of.",2
1805,Hnotta,Old English,Masculine personal name.,1
1806,Barnage,Modern English,,1
1807,hnutu,Old English,A nut,11
1808,topographically also a nut-bearing tree.,Modern English,,11
1809,Alverad,Modern English,,1
1810,Nichol,Modern English,,1
1811,Horsyndon,Modern English,,1
1812,Ōswald,Old English,Masculine personal-name.,1
1813,Ōsmund,Old English,Masculine personal name.,1
1814,Compton,Modern English,,1
1815,Hawey,Modern English,,1
1816,Moigne,Modern English,,1
1817,oerddrws Celtic,Modern English,,1
1818,pall Old English,Modern English,,3
1819,Pælli,Old English,Masculine personal name.,1
1820,Puselegh,Modern English,,1
1821,le Peg,Modern English,,1
1822,penn Celtic,Modern English,,6
1823,twrch Celtic,Modern English,,2
1824,pirige,Old English,A pear-tree.,17
1825,Peohtrīc,Modern English,,1
1826,Personal,name (Uncertain) Unknown,Personal name,1
1827,Philip,Modern English,,1
1828,Filol,Modern English,,1
1829,pyttel,Old English,"A hawk, a mousehawk.",2
1830,Pyttel,Old English,Masculine personal name.,1
1831,trente,Old French,Thirty.,1
1832,Personal,name (Uncertain) Unknown,Personal name,1
1833,Poer,Modern English,,1
1834,pimpern,Old English,Group of hills.,2
1835,pren Celtic,Modern English,,1
1836,pump Celtic,Modern English,,1
1837,pinc,Old English,A minnow.,2
1838,pīn,Old English,A pine-tree.,1
